Timestamp: 1763954175.94, FPS: 63.66
Timestamp: 1763954185.24, FPS: 61.49
Timestamp: 1763954194.35, FPS: 67.04
Timestamp: 1763954203.63, FPS: 61.21
Timestamp: 1763954212.77, FPS: 61.47
Timestamp: 1763992163.70, FPS: 40.35
Timestamp: 1763992173.87, FPS: 46.93
Timestamp: 1763992183.40, FPS: 48.40
Timestamp: 1763992192.84, FPS: 57.34
Timestamp: 1763992202.17, FPS: 62.51
Timestamp: 1763992211.70, FPS: 58.31
Timestamp: 1763992221.00, FPS: 54.81
Timestamp: 1763992230.47, FPS: 53.01
Timestamp: 1763992240.21, FPS: 45.46
Timestamp: 1763992315.69, FPS: 54.58
Timestamp: 1763992325.07, FPS: 57.78
Timestamp: 1763992334.40, FPS: 62.29
Timestamp: 1763992343.78, FPS: 62.12
Timestamp: 1763992352.99, FPS: 55.13
Timestamp: 1763992411.69, FPS: 54.63
Timestamp: 1763992420.99, FPS: 56.79
Timestamp: 1763992430.56, FPS: 58.30
Timestamp: 1763992440.16, FPS: 56.71
Timestamp: 1763992449.66, FPS: 60.94
Timestamp: 1763992459.12, FPS: 56.67
Timestamp: 1763992468.51, FPS: 57.48
Timestamp: 1763992478.05, FPS: 58.66
Timestamp: 1763992487.31, FPS: 55.02
Timestamp: 1763992496.66, FPS: 59.91
Timestamp: 1763992505.81, FPS: 66.56
Timestamp: 1763992515.10, FPS: 59.92
Timestamp: 1763992524.45, FPS: 59.17
Timestamp: 1763992533.69, FPS: 66.31
Timestamp: 1763992542.76, FPS: 67.58
Timestamp: 1763992551.41, FPS: 66.80
Timestamp: 1764123695.47, FPS: 58.05
Timestamp: 1764123704.87, FPS: 55.98
Timestamp: 1764123714.13, FPS: 63.33
Timestamp: 1764123723.49, FPS: 55.01
Timestamp: 1764265227.14, FPS: 87.12
Timestamp: 1764265231.07, FPS: 72.98
Timestamp: 1764265236.03, FPS: 68.90
Timestamp: 1764265240.24, FPS: 71.76
Timestamp: 1764265245.29, FPS: 59.78
Timestamp: 1764265249.49, FPS: 71.91
Timestamp: 1764265253.44, FPS: 74.67
Timestamp: 1764265257.96, FPS: 71.97
Timestamp: 1764265262.60, FPS: 64.33
Timestamp: 1764265266.93, FPS: 71.33
Timestamp: 1764266219.03, FPS: 55.29
Timestamp: 1764266224.90, FPS: 52.57
Timestamp: 1764266230.51, FPS: 56.04
Timestamp: 1764266236.26, FPS: 52.45
Timestamp: 1764266242.28, FPS: 49.11
Timestamp: 1764266311.32, FPS: 52.19
Timestamp: 1764266317.17, FPS: 49.45
Timestamp: 1764266324.08, FPS: 45.82
Timestamp: 1764266330.83, FPS: 45.55
Timestamp: 1764266336.36, FPS: 54.11
Timestamp: 1764266342.48, FPS: 53.24
Timestamp: 1764266348.22, FPS: 52.37
Timestamp: 1764267276.76, FPS: 55.39
Timestamp: 1764267282.85, FPS: 50.50
Timestamp: 1764267289.21, FPS: 48.13
Timestamp: 1764267295.78, FPS: 46.59
Timestamp: 1764267301.34, FPS: 54.07
Timestamp: 1764267306.76, FPS: 54.74
Timestamp: 1764267312.30, FPS: 56.32
Timestamp: 1764267318.08, FPS: 51.66
Timestamp: 1764267324.35, FPS: 49.85
Timestamp: 1764267330.32, FPS: 50.35
Timestamp: 1764267336.32, FPS: 51.49
Timestamp: 1764267341.76, FPS: 57.12
Timestamp: 1764267347.51, FPS: 52.22
Timestamp: 1764267353.19, FPS: 52.41
Timestamp: 1764267359.61, FPS: 47.78
Timestamp: 1764267365.69, FPS: 52.25
Timestamp: 1764267371.18, FPS: 55.24
Timestamp: 1764267377.05, FPS: 51.28
Timestamp: 1764267382.42, FPS: 54.45
Timestamp: 1764267388.78, FPS: 46.77
Timestamp: 1764267394.31, FPS: 54.49
Timestamp: 1764267399.76, FPS: 55.92
Timestamp: 1764267405.77, FPS: 50.03
Timestamp: 1764267411.72, FPS: 50.99
Timestamp: 1764267417.42, FPS: 54.87
Timestamp: 1764267423.19, FPS: 50.08
Timestamp: 1764267428.86, FPS: 53.51
Timestamp: 1764267434.34, FPS: 54.67
Timestamp: 1764267440.10, FPS: 54.29
Timestamp: 1764267446.01, FPS: 51.93
Timestamp: 1764267452.15, FPS: 48.88
Timestamp: 1764267458.03, FPS: 51.17
Timestamp: 1764267464.12, FPS: 52.42
